"지능범죄",사기,223470,11367,3867,2047,33328,11286,11804,7232,7581,134958,235366,5149,4034,2315,39296,22459,13987,8323,8483,131320,269082,6470,4301,2423,45224,25096,17617,11586,10387,145978,238409,5636,3974,2447,40455,22625,15829,10733,9729,126981,247293,5435,3870,2687,42233,23620,16566,11737,10452,130693,241613,5252,3886,2794,41443,24374,16628,11863,10968,124405,231489,5437,3834,2844,41906,25422,16567,11251,10811,113417,270029,5374,3915,2755,38319,28345,20807,12481,11279,146754,304472,5443,3949,3056,39184,30405,21648,13930,12387,174470,347675,5714,4082,3688,40259,35958,29232,18638,13541,196563,294075,3120,2174,2863,29237,35945,31982,16599,10378,161777,325848,4336,2795,3334,26382,36690,34788,21248,14830,181445
"지능범죄",횡령,26767,1275,405,427,3754,1115,1265,1169,1083,16274,31273,837,686,884,4891,2292,1813,1653,1656,16561,34892,1268,900,817,5289,2939,2630,2329,2246,16474,37024,1315,970,969,5864,3128,2676,2687,2793,16622,46734,1943,1671,1514,6648,4206,4043,4149,4288,18272,50053,2269,1968,1974,6730,5269,4968,5217,5152,16506,50498,2487,2105,2031,6928,5419,5530,5555,5515,14928,55113,2504,2189,2434,7439,5837,6062,6063,5986,16599,58508,2754,2526,2780,6781,6586,6584,6646,6367,17484,58889,2672,2421,2698,6860,6992,6813,6676,6277,17480,50421,1273,1258,2328,5642,6397,6634,6098,5989,14802,60220,2235,1971,3069,6151,7209,7685,7097,6856,17947
"지능범죄",배임,4725,364,5,4,1079,154,64,35,14,3006,4229,11,2,3,1007,268,55,24,6,2853,4617,14,3,13,1346,319,106,34,12,2770,4456,15,3,6,1107,302,88,46,18,2871,4289,16,2,2,998,373,77,36,13,2772,4358,14,-,9,1096,417,72,37,15,2698,3706,6,2,5,865,240,69,34,17,2468,4344,8,-,6,731,242,57,30,17,3253,4566,3,4,21,1123,277,68,39,8,3023,4092,5,-,4,707,235,65,26,15,3035,3466,-,1,30,350,336,56,25,12,2656,3606,-,1,7,276,123,35,26,12,3126
"풍속범죄",소계,28834,1111,504,447,1612,1242,2945,3299,3240,14434,24801,734,475,568,1411,1731,3278,3227,3377,10000,27373,781,578,797,1866,1946,3249,3326,3326,11504,24976,809,546,938,2178,2015,2946,3355,3149,9040,24491,789,564,1199,1660,1951,3168,3453,3475,8232,26165,979,669,948,2109,2255,3181,3459,3330,9235,22501,927,723,1133,1900,2006,3142,3239,3089,6342,20162,884,663,856,1380,1663,2579,2676,2680,6781,21153,920,709,887,1582,1713,2577,2543,2750,7472,22632,968,685,798,1620,1630,2524,2548,2771,9088,23360,1113,722,759,1586,1954,2582,3259,2933,8452,27113,1445,1179,963,1778,2347,3358,3381,3672,8990
"풍속범죄",성풍속범죄,13381,444,202,304,705,378,787,706,752,9103,14935,374,286,464,961,983,1608,1296,1353,7610,19385,501,431,720,1472,1358,1959,1653,1724,9567,16683,572,386,837,1584,1445,1900,1883,1704,6372,16219,525,383,1094,1182,1406,2086,1992,1919,5632,12719,564,448,754,1133,1261,1833,1708,1740,3278,13812,647,542,911,1309,1366,2071,1966,1917,3083,14158,703,570,759,1156,1268,1826,1784,1814,4278,13145,736,597,773,1126,1225,1724,1675,1931,3358,14497,818,591,733,1174,1231,1764,1646,1987,4553,16969,949,673,713,1323,1622,2038,2141,2343,5167,22650,1352,1112,922,1614,2080,2744,2866,3227,6733
"풍속범죄",도박범죄,15453,667,302,143,907,864,2158,2593,2488,5331,9866,360,189,104,450,748,1670,1931,2024,2390,7988,280,147,77,394,588,1290,1673,1602,1937,8293,237,160,101,594,570,1046,1472,1445,2668,8272,264,181,105,478,545,1082,1461,1556,2600,13446,415,221,194,976,994,1348,1751,1590,5957,8689,280,181,222,591,640,1071,1273,1172,3259,6004,181,93,97,224,395,753,892,866,2503,8008,184,112,114,456,488,853,868,819,4114,8135,150,94,65,446,399,760,902,784,4535,6391,164,49,46,263,332,544,1118,590,3285,4463,93,67,41,164,267,614,515,445,2257
"특별경제범죄",소계,68026,3721,1371,1194,9080,3450,4514,3760,4985,35951,78155,2573,1858,1549,10887,6360,5225,4828,5988,38887,71019,2545,2068,1832,9144,5895,5155,4881,6075,33424,72908,2768,2231,2024,10083,6652,6028,5702,7676,29744,86329,2830,2176,1841,10190,7687,7436,7112,10380,36677,65025,2527,1845,1875,8422,6524,6044,5757,8043,23988,53356,2105,1589,1444,7412,5641,4915,4607,6160,19483,53994,1973,1489,1307,7011,6198,5867,3867,4887,21395,51400,1688,1426,1333,6702,5340,4802,3768,4320,22021,47826,1527,1239,1329,5766,4786,4248,4062,4070,20799,40708,640,534,993,4320,4235,4008,3759,3070,19149,48615,1090,804,1074,4100,4820,4427,4156,3675,24469
"마약범죄",소계,4160,170,85,43,259,215,340,352,431,2265,4268,110,87,53,261,292,322,477,439,2227,4598,148,106,66,325,320,460,511,466,2196,4825,121,97,44,312,357,484,548,453,2409,6411,178,135,92,476,578,572,611,548,3221,7329,244,184,145,591,641,837,829,732,3126,7501,307,202,148,671,743,853,843,769,2965,6513,263,155,123,529,724,789,658,639,2633,8038,244,214,151,635,773,890,776,674,3681,9186,333,214,176,753,941,1096,832,830,4011,8088,318,246,188,645,758,808,932,858,3335,10331,353,303,218,806,1035,1155,1234,1296,3931
"보건범죄",소계,14083,879,388,107,1479,569,1069,857,2171,6564,16800,639,369,112,2301,1973,1178,900,1882,7446,20383,636,378,154,4084,2090,1752,1208,1967,8114,14657,480,268,146,1417,1090,1333,1020,1735,7168,14602,530,299,134,1905,1163,1518,990,1693,6370,14662,506,270,148,1905,990,1867,980,1570,6426,12561,508,291,108,1360,864,1107,867,1504,5952,11033,477,304,104,934,578,760,745,1382,5749,12570,596,404,140,880,694,1009,893,1747,6207,14595,704,449,162,1159,794,1124,1045,2041,7117,16936,579,334,147,819,796,1206,1089,3321,8645,17749,1096,501,108,1102,673,768,929,4458,8114
"환경범죄",소계,2649,97,27,94,439,349,391,99,83,1070,3128,24,29,122,424,824,358,69,67,1211,4135,19,24,96,1623,490,369,66,70,1378,2536,17,26,83,404,277,209,63,57,1400,2955,29,32,80,747,282,305,79,64,1337,4349,21,42,490,914,501,463,62,66,1790,4879,24,35,1011,714,332,298,117,80,2268,4791,21,29,107,770,1048,241,80,73,2422,3877,42,53,117,458,290,190,90,126,2511,3568,14,23,75,411,263,165,61,74,2482,3656,14,22,52,468,231,172,36,23,2638,3477,49,58,115,292,269,185,48,33,2428
