"죄종별","항목","단위","1990 년","1991 년","1992 년","1993 년","1994 년","1995 년","1996 년","1997 년","1998 년","1999 년","2000 년","2001 년","2002 년","2003 년","2004 년","2005 년","2006 년","2007 년","2008 년","2009 년","2010 년",
"존속살인죄","검거인원(남)[명]","명","3","7","7","15","","","","","","","","","","","","","","","","","",
"존속살인죄","검거인원(여)[명]","명","2","1","2","","","","","","","","","","","","","","","","","","",
"존속살인죄","성년(계)[명]","명","4","7","7","15","","","","","","","","","","","","","","","","","",
"존속살인죄","성년(남)[명]","명","2","6","5","15","","","","","","","","","","","","","","","","","",
"존속살인죄","성년(여)[명]","명","2","1","2","","","","","","","","","","","","","","","","","","",
"존속살인죄","미성년(계)[명]","명","1","1","2","","","","","","","","","","","","","","","","","","",
"존속살인죄","미성년(남)[명]","명","1","1","2","","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","발생건수[건]","건","1","1","1","1","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","검거건수[건]","건","1","1","3","","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","검거율[%]","%","100","100","300","-","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","검거인원(계)[명]","명","2","","3","1","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","검거인원(남)[명]","명","1","","2","1","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","검거인원(여)[명]","명","1","","1","","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","성년(계)[명]","명","2","","3","1","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","성년(남)[명]","명","1","","2","1","","","","","","","","","","","","","","","","","",
"촉탁·승낙살인죄","성년(여)[명]","명","1","","1","","","","","","","","","","","","","","","","","","",
"자살교사방조죄","발생건수[건]","건","1","1","","3","","","","","","","","","","","","","","","","","",
"자살교사방조죄","검거건수[건]","건","1","2","","2","","","","","","","","","","","","","","","","","",
"자살교사방조죄","검거율[%]","%","100","200","-","66.7","","","","","","","","","","","","","","","","","",
"자살교사방조죄","검거인원(계)[명]","명","5","2","1","2","","","","","","","","","","","","","","","","","",
"자살교사방조죄","검거인원(남)[명]","명","4","1","1","2","","","","","","","","","","","","","","","","","",
"자살교사방조죄","검거인원(여)[명]","명","1","1","","","","","","","","","","","","","","","","","","","",
"자살교사방조죄","성년(계)[명]","명","5","2","1","2","","","","","","","","","","","","","","","","","",
"자살교사방조죄","성년(남)[명]","명","4","1","1","2","","","","","","","","","","","","","","","","","",
"자살교사방조죄","성년(여)[명]","명","1","1","","","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","발생건수[건]","건","3","3","4","4","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","검거건수[건]","건","4","7","8","6","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","검거율[%]","%","133.3","233.3","200","150","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","검거인원(계)[명]","명","5","4","14","7","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","검거인원(남)[명]","명","5","4","14","5","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","검거인원(여)[명]","명","","","","2","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","성년(계)[명]","명","5","4","7","7","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","성년(남)[명]","명","5","4","7","5","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","성년(여)[명]","명","","","","2","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","미성년(계)[명]","명","","","7","","","","","","","","","","","","","","","","","","",
"위계촉탁살인죄","미성년(남)[명]","명","","","7","","","","","","","","","","","","","","","","","","",
"영아살해죄","발생건수[건]","건","3","1","","3","","","","","","","","","","","","","","","","","",
"영아살해죄","검거건수[건]","건","1","","2","2","","","","","","","","","","","","","","","","","",
"영아살해죄","검거율[%]","%","33.3","0","-","66.7","","","","","","","","","","","","","","","","","",
