"죄종별(1)",죄종별(2),2011,2011,2011,2011,2011,2011,2011,2011,2012,2012,2012,2012,2012,2012,2012,2012,2013,2013,2013,2013,2013,2013,2013,2013,2014,2014,2014,2014,2014,2014,2014,2014,2015,2015,2015,2015,2015,2015,2015,2015,2016,2016,2016,2016,2016,2016,2016,2016,2017,2017,2017,2017,2017,2017,2017,2017,2018,2018,2018,2018,2018,2018,2018,2018,2019,2019,2019,2019,2019,2019,2019,2019,2020,2020,2020,2020,2020,2020,2020,2020,2021,2021,2021,2021,2021,2021,2021,2021,2022,2022,2022,2022,2022,2022,2022,2022
"죄종별(1)",죄종별(2),계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일,계,일요일,월요일,화요일,수요일,목요일,금요일,토요일
"강력범죄",강제추행,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14778,2075,1999,2075,2118,2079,2096,2336,14611,2126,1901,2129,2042,2045,2071,2297,15059,2237,2059,2040,2058,2027,2229,2409,16054,2373,2091,2122,2128,2228,2471,2641,17947,2619,2309,2404,2467,2565,2685,2898,17053,2564,2197,2263,2333,2389,2547,2760,17120,2580,2272,2306,2358,2231,2542,2831,15344,2185,2068,1964,2152,2082,2390,2503,13962,1862,1994,1844,2025,1988,2071,2178,15864,2185,2163,2153,2214,2223,2359,2567
"강력범죄",기타 강간·강제추행등,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1647,273,221,200,228,229,220,276,991,159,131,165,130,125,128,153,558,93,76,78,81,65,75,90,408,62,56,61,51,52,58,68,304,46,35,38,45,38,38,64,356,49,51,48,49,45,55,59,325,58,53,45,49,39,43,38,237,32,38,25,36,28,31,47,238,46,37,41,28,35,27,24,225,32,36,29,29,31,35,33
"강력범죄",방화,2003,309,294,317,255,259,271,298,1900,316,285,261,256,250,263,269,1743,270,267,215,258,235,220,278,1723,279,233,237,221,233,243,277,1673,246,268,232,223,226,231,247,1502,229,218,211,193,223,221,207,1372,217,193,196,188,209,181,188,1691,256,236,263,235,246,212,243,1362,209,181,181,209,170,206,206,1228,201,180,164,161,192,175,155,1046,164,173,157,131,141,136,144,1233,186,160,177,141,197,190,182
"절도범죄",소계,281362,37476,39466,39737,39674,39233,42692,43084,290460,40168,39237,39930,40306,40576,44051,46192,288343,38781,40199,39239,40451,40372,43634,45667,266222,36895,35699,36970,36689,36805,40471,42693,245853,33217,34039,33443,34908,33668,37363,39215,203037,28759,27683,27628,27861,27809,30852,32445,183757,25926,25011,24799,25147,25746,27505,29623,176809,24832,24354,24278,24761,24400,26398,27786,186957,25466,26239,25671,26061,26098,28156,29266,179517,23771,25196,25170,25538,24974,27311,27557,166409,21687,23429,23455,23743,23989,25209,24897,182270,23632,25210,25444,26203,26137,28133,27511
"폭력범죄",소계,311945,47622,40418,43334,42204,42717,45282,50368,312579,47711,39735,43433,42602,42707,45433,50958,294188,44559,38061,40809,40144,39997,42296,48322,290079,44493,36973,39715,39639,39506,42107,47646,305947,47819,39167,41612,41723,41579,43768,50279,309394,49257,39421,41387,41931,41575,44580,51243,293086,47177,37706,39341,39632,39162,41918,48150,287611,45412,37497,39345,38608,38576,41040,47133,287913,45295,38034,38553,38905,39086,41198,46842,265768,40886,34826,36106,36525,36065,38614,42746,232661,33800,32003,31961,31823,31739,34121,37214,245286,37058,33005,33201,33337,33329,35716,39640
"폭력범죄",상해,67206,9933,8848,9572,9163,9502,9828,10360,62342,9006,8159,8914,8754,8869,9077,9563,55884,8173,7402,8028,7819,7764,7995,8703,50281,7462,6537,7217,6888,7013,7236,7928,48005,7187,6318,6773,6668,6566,6932,7561,50028,7820,6594,6886,6853,6770,7161,7944,44611,7070,5882,6221,6219,5923,6357,6939,39766,6105,5326,5649,5395,5396,5628,6267,36858,5693,4908,5063,5038,5110,5270,5776,32904,4926,4431,4635,4488,4533,4785,5106,28453,3983,4025,3915,3988,3931,4165,4446,26806,4124,3655,3689,3567,3584,3947,4240
"폭력범죄",폭행,126651,19137,15932,17719,17246,17554,18664,20399,130546,19997,16075,18124,17933,17857,18946,21614,128699,19611,16191,17836,17643,17363,18549,21506,132920,20924,16507,17984,18258,17897,19132,22218,149278,23780,18515,20048,20088,20354,21334,25159,165803,27162,20470,21793,22403,22168,23728,28079,159641,26517,19983,21358,21317,21073,22540,26853,159267,25977,20195,21334,21160,21181,22423,26997,157197,25865,19966,20766,20981,21080,22045,26494,139361,22361,17420,18563,18976,18718,20075,23248,115942,17532,15392,15694,15691,15406,16925,19302,125217,19627,16214,16533,16943,16937,17924,21039
"폭력범죄",체포・감금,832,99,114,131,112,133,131,112,876,114,134,140,127,130,114,117,929,131,132,149,121,134,145,117,945,106,136,170,145,110,136,142,1028,126,147,157,165,152,140,141,1318,175,208,191,209,179,188,168,1439,197,224,194,203,216,211,194,1207,162,168,189,180,192,165,151,1243,180,189,170,171,169,196,168,1209,166,165,162,174,187,179,176,1165,164,183,180,170,176,155,137,1145,159,189,168,163,174,153,139
"폭력범죄",협박,3578,394,585,546,514,534,521,484,4480,586,685,676,620,660,705,548,4661,497,749,710,741,669,700,595,5187,628,779,784,780,774,788,654,9187,1242,1342,1376,1323,1303,1371,1230,15870,2349,2197,2254,2268,2231,2242,2329,15499,2163,2128,2133,2252,2248,2298,2277,17200,2498,2462,2530,2474,2444,2408,2384,21022,2886,3013,3039,3072,2961,3040,3011,21214,2966,3060,3015,3065,2991,3101,3016,21058,2891,3019,3067,2940,3019,3116,3006,21567,3014,3093,3106,3019,3054,3187,3094
"폭력범죄",약취・유인,266,26,51,39,36,35,41,38,200,27,32,33,31,24,32,21,188,23,39,27,29,28,26,16,198,26,27,32,32,34,27,20,190,23,33,23,27,30,32,22,201,28,30,31,36,17,29,30,206,19,26,34,39,27,31,30,187,29,34,27,26,30,26,15,250,27,40,41,34,32,40,36,210,23,31,31,40,35,32,18,240,25,39,25,39,41,33,38,276,30,46,31,50,40,51,28
