"범죄별(1)",범죄별(2),범죄별(3),1993,1993,1993,1993,1993,1993,1994,1994,1994,1994,1994,1994,1995,1995,1995,1995,1995,1995,1996,1996,1996,1996,1996,1996,1997,1997,1997,1997,1997,1997,1998,1998,1998,1998,1998,1998,1999,1999,1999,1999,1999,1999,2000,2000,2000,2000,2000,2000,2001,2001,2001,2001,2001,2001,2002,2002,2002,2002,2002,2002,2003,2003,2003,2003,2003,2003,2004,2004,2004,2004,2004,2004,2005,2005,2005,2005,2005,2005
"범죄별(1)",범죄별(2),범죄별(3),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명),발생건수 (건),검거건수 (건),검거율 (%),검거인원 (명),남자검거인원 (명),여자검거인원 (명)
"특별법범",국토이용관리법,소계,-,-,-,-,-,-,6,6,100.0,9,7,2,6,6,100.0,12,11,1,6,6,100.0,8,8,-,19,18,94.7,35,26,9,6,6,100.0,13,11,2,4,4,100.0,6,5,1,7,6,85.7,11,11,-,2,2,100.0,6,6,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",국회의원 선거법,소계,6,15,250.0,15,14,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",근로기준법,소계,11,9,81.8,9,8,1,1,1,100.0,2,2,-,6,5,83.3,5,5,-,12,13,108.3,15,13,2,14,15,107.1,15,13,2,6,8,133.3,9,5,4,7,12,171.4,13,10,3,9,5,55.6,5,5,-,5,6,120.0,7,5,2,8,6,75.0,6,6,-,6,6,100.0,6,5,1,6,4,66.6,4,3,1,10,6,60.0,6,3,3
"특별법범",낚시어선업법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",내수면어업법,소계,-,-,-,-,-,-,14,13,92.9,14,14,-,4,4,100.0,4,4,-,4,4,100.0,4,4,-,5,7,140.0,7,5,2,2,3,150.0,3,3,-,4,5,125.0,5,5,-,4,4,100.0,7,7,-,11,10,90.9,12,12,-,3,3,100.0,4,4,-,1,2,200.0,2,2,-,-,-,-,-,-,-,-,2,-,2,2,-
"특별법범",노동쟁의조정법,소계,-,-,-,-,-,-,2,2,100.0,42,42,-,-,-,-,-,-,-,2,1,50.0,1,1,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",노동조합법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,2,2,100.0,1998,1998,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
"특별법범",노동조합 및 노동관계조정법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,1,2,200.0,2,2,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,14,13,92.8,14,6,8,-,-,-,-,-,-,3,4,133.3,21,21,-,5,5,100.0,5,5,-
"특별법범",농산물품질관리법,소계,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,49,51,104.0,65,56,9,74,72,97.3,86,61,25,72,77,106.9,73,63,10,16,21,131.2,65,64,1
"특별법범",농수산물유통 및 가격안정에 관한법률,소계,-,-,-,-,-,-,2,2,100.0,2,2,-,1,1,100.0,1,1,-,4,8,200.0,12,12,-,8,9,112.5,10,9,1,14,16,114.3,16,16,-,2,3,150.0,4,4,-,1,1,100.0,2,2,-,1,1,100.0,1,1,-,1,1,100.0,3,3,-,67,67,100.0,78,73,5,1,2,200.0,2,1,1,-,-,-,-,-,-
