"죄종별","항목","단위","2011 년","2012 년","2013 년","2014 년","2015 년","2016 년","2017 년","2018 년","2019 년","2020 년","2021 년","2022 년",
"폭행(상습)","발생건수 대비 검거건수[%]","%","100","80","100","133.3","100","106.3","95.2","94.1","85","100","85.7","95.5",
"폭행(상습)","검거인원[명]","명","2","2","1","5","1","19","28","14","19","29","12","20",
"폭행(상습)","남자검거인원[명]","명","2","1","1","5","1","18","25","14","18","28","11","17",
"폭행(상습)","여자검거인원[명]","명","-","1","","","","1","3","-","1","1","1","3",
"폭행(상습)","불상검거인원[명]","명","-","-","","","","-","-","-","-","-","-","-",
"폭행(상습)","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"폭행치상","발생건수[건]","건","226","214","253","230","323","418","358","408","396","342","300","338",
"폭행치상","검거건수[건]","건","199","202","239","214","313","408","346","393","382","338","287","327",
"폭행치상","발생건수 대비 검거건수[%]","%","88.0530973451","94.4","94.5","93","96.9","97.6","96.6","96.3","96.5","98.8","95.7","96.7",
"폭행치상","검거인원[명]","명","270","279","327","311","423","543","467","533","514","472","380","430",
"폭행치상","남자검거인원[명]","명","221","240","274","256","357","466","392","449","428","388","310","368",
"폭행치상","여자검거인원[명]","명","46","37","52","55","65","75","75","81","82","82","70","60",
"폭행치상","불상검거인원[명]","명","3","2","1","","1","2","-","3","4","2","-","2",
"폭행치상","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"폭행치사","발생건수[건]","건","13","12","24","10","10","8","8","8","4","9","3","7",
"폭행치사","검거건수[건]","건","13","13","24","10","10","8","8","8","4","8","2","7",
"폭행치사","발생건수 대비 검거건수[%]","%","100","108.3","100","100","100","100","100","100","100","88.9","66.7","100",
"폭행치사","검거인원[명]","명","18","15","27","11","11","10","8","8","5","9","4","7",
"폭행치사","남자검거인원[명]","명","18","14","24","10","9","8","7","8","5","7","4","7",
"폭행치사","여자검거인원[명]","명","-","1","2","1","2","1","1","-","-","2","-","-",
"폭행치사","불상검거인원[명]","명","-","-","1","","","1","-","-","-","-","-","-",
"폭행치사","법인체[개]","개","","-","","","","-","-","-","-","-","-","-",
"특수폭행","발생건수[건]","건","22","15","23","17","274","1367","1306","1439","1548","1447","1428","1640",
"특수폭행","검거건수[건]","건","17","12","17","16","255","1319","1248","1379","1492","1362","1358","1549",
