crime_type_original,region_original,occurrence_count,year,source_file,duplicate_key
간통,계양,17.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,계양,12.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,계양,16.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,계양,13.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,계양,11.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2022,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2023,135_TX_13501_A048_20260915163340.csv,False
간통,계양,,2024,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,1994,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,1995,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,1996,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,1997,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,1998,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,1999,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,2000,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,2001,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,2002,135_TX_13501_A048_20260915163423.csv,False
간통,관악,,2003,135_TX_13501_A048_20260915163423.csv,False
간통,관악,38.0,2004,135_TX_13501_A048_20260915163423.csv,False
간통,관악,30.0,2005,135_TX_13501_A048_20260915163423.csv,False
간통,관악,24.0,2006,135_TX_13501_A048_20260915163423.csv,False
간통,관악,16.0,2007,135_TX_13501_A048_20260915163423.csv,False
간통,관악,24.0,2008,135_TX_13501_A048_20260915163423.csv,False
간통,관악,17.0,2009,135_TX_13501_A048_20260915163423.csv,False
간통,관악,21.0,2010,135_TX_13501_A048_20260915163423.csv,False
간통,관악,19.0,2011,135_TX_13501_A048_20260915163340.csv,False
간통,관악,21.0,2012,135_TX_13501_A048_20260915163340.csv,False
간통,관악,10.0,2013,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2014,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2015,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2016,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2017,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2018,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2019,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2020,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2021,135_TX_13501_A048_20260915163340.csv,False
간통,관악,,2022,135_TX_13501_A048_20260915163340.csv,False
