crime_type_original,region_original,region_position,city,region_match,structure_used,occurrence_count,year,source_file,region_version,district,region_full,duplicate_final_key
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2011,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2012,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2013,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2014,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2015,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2016,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2017,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2018,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2019,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
내란의 죄,광산,64,광주광역시,True,75지역_군위군포함,,2020,135_TX_13501_A048_20260915163340.csv,2011~2024,광산구,광주광역시 광산구,False
