evidence_id,year,region,crime_type_original,crime_group_refined,related_groups,occurrence_count,arrest_count,clearance_rate,previous_occurrence,yoy_change_rate,trend_direction,quality_flag,data_warning,evidence_card_text,source_file,display_ready
DATA-000012,2021,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,6.0,5.0,,7.0,-14.285714285714285,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 6건 / 검거 5건 / 전년 대비 -14.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000013,2022,범위확인필요,13세미만미성년자강간·간음,성범죄,성범죄,4.0,3.0,,6.0,-33.33333333333333,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 4건 / 검거 3건 / 전년 대비 -33.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000014,2011,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,136.0,137.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 136건 / 검거 137건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000015,2012,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,104.0,88.0,,136.0,-23.52941176470588,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 104건 / 검거 88건 / 전년 대비 -23.5%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000016,2013,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,12.0,12.0,,104.0,-88.46153846153845,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 12건 / 검거 12건 / 전년 대비 -88.5%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000017,2014,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,15.0,14.0,,12.0,25.0,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 15건 / 검거 14건 / 전년 대비 +25.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000018,2015,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,10.0,10.0,,15.0,-33.33333333333333,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 10건 / 검거 10건 / 전년 대비 -33.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000019,2016,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,3.0,3.0,,10.0,-70.0,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 3건 / 검거 3건 / 전년 대비 -70.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000020,2017,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,8.0,7.0,,3.0,166.66666666666669,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 8건 / 검거 7건 / 전년 대비 +166.7%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000021,2018,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,4.0,3.0,,8.0,-50.0,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 4건 / 검거 3건 / 전년 대비 -50.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000022,2019,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,3.0,3.0,,4.0,-25.0,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 3건 / 검거 3건 / 전년 대비 -25.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000023,2020,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,7.0,7.0,,3.0,133.33333333333331,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 7건 / 검거 7건 / 전년 대비 +133.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000024,2022,범위확인필요,13세미만미성년자강간등,성범죄,성범죄,,1.0,,7.0,,비교불가,MISSING_OCCURRENCE|MISSING_CLEARANCE_RATE,발생건수 없음 | 공표 검거율 없음,검거 1건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000025,2013,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,80.0,75.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 80건 / 검거 75건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000026,2014,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,129.0,109.0,,80.0,61.25000000000001,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 129건 / 검거 109건 / 전년 대비 +61.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000027,2015,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,144.0,125.0,,129.0,11.627906976744185,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 144건 / 검거 125건 / 전년 대비 +11.6%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000028,2016,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,139.0,126.0,,144.0,-3.4722222222222223,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 139건 / 검거 126건 / 전년 대비 -3.5%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000029,2017,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,139.0,116.0,,139.0,0.0,유사,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 139건 / 검거 116건 / 전년 대비 +0.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000030,2018,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,140.0,116.0,,139.0,0.7194244604316548,유사,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 140건 / 검거 116건 / 전년 대비 +0.7%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000031,2019,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,126.0,120.0,,140.0,-10.0,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 126건 / 검거 120건 / 전년 대비 -10.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000032,2020,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,88.0,77.0,,126.0,-30.158730158730158,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 88건 / 검거 77건 / 전년 대비 -30.2%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000033,2021,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,62.0,55.0,,88.0,-29.545454545454547,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 62건 / 검거 55건 / 전년 대비 -29.5%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000034,2022,범위확인필요,13세미만미성년자강제추행·추행,성범죄,성범죄,87.0,78.0,,62.0,40.32258064516129,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 87건 / 검거 78건 / 전년 대비 +40.3%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000035,2021,범위확인필요,16세미만아동·청소년간음,성범죄,성범죄,6.0,4.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 6건 / 검거 4건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000036,2022,범위확인필요,16세미만아동·청소년간음,성범죄,성범죄,3.0,1.0,,6.0,-50.0,감소,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 3건 / 검거 1건 / 전년 대비 -50.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000037,2021,범위확인필요,16세미만아동·청소년추행,성범죄,성범죄,1.0,1.0,,,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 1건 / 검거 1건,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000038,2022,범위확인필요,16세미만아동·청소년추행,성범죄,성범죄,8.0,8.0,,1.0,700.0,증가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 8건 / 검거 8건 / 전년 대비 +700.0%,132_DT_13204_2011_N213_20260915163035.csv,True
DATA-000039,1999,범위확인필요,가스·전기·증기공급사용방해,기타,,3.0,3.0,100.0,,,비교불가,OK,,발생 3건 / 검거 3건 / 공표 검거율 100.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000040,2000,범위확인필요,가스·전기·증기공급사용방해,기타,,4.0,3.0,75.0,3.0,33.33333333333333,증가,OK,,발생 4건 / 검거 3건 / 공표 검거율 75.0% / 전년 대비 +33.3%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000041,2001,범위확인필요,가스·전기·증기공급사용방해,기타,,2.0,2.0,100.0,4.0,-50.0,감소,OK,,발생 2건 / 검거 2건 / 공표 검거율 100.0% / 전년 대비 -50.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000042,2002,범위확인필요,가스·전기·증기공급사용방해,기타,,1.0,,0.0,2.0,-50.0,감소,MISSING_ARREST,검거건수 없음,발생 1건 / 공표 검거율 0.0% / 전년 대비 -50.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000043,2003,범위확인필요,가스·전기·증기공급사용방해,기타,,1.0,2.0,200.0,1.0,0.0,유사,CLEARANCE_OVER_100,검거율 100% 초과,발생 1건 / 검거 2건 / 공표 검거율 200.0% / 전년 대비 +0.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000044,2004,범위확인필요,가스·전기·증기공급사용방해,기타,,2.0,1.0,50.0,1.0,100.0,증가,OK,,발생 2건 / 검거 1건 / 공표 검거율 50.0% / 전년 대비 +100.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000045,2005,범위확인필요,가스·전기·증기공급사용방해,기타,,1.0,1.0,100.0,2.0,-50.0,감소,OK,,발생 1건 / 검거 1건 / 공표 검거율 100.0% / 전년 대비 -50.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000046,2006,범위확인필요,가스·전기·증기공급사용방해,기타,,1.0,1.0,100.0,1.0,0.0,유사,OK,,발생 1건 / 검거 1건 / 공표 검거율 100.0% / 전년 대비 +0.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000047,2007,범위확인필요,가스·전기·증기공급사용방해,기타,,5.0,5.0,100.0,1.0,400.0,증가,OK,,발생 5건 / 검거 5건 / 공표 검거율 100.0% / 전년 대비 +400.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000048,2008,범위확인필요,가스·전기·증기공급사용방해,기타,,2.0,2.0,100.0,5.0,-60.0,감소,OK,,발생 2건 / 검거 2건 / 공표 검거율 100.0% / 전년 대비 -60.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000049,2009,범위확인필요,가스·전기·증기공급사용방해,기타,,2.0,2.0,100.0,2.0,0.0,유사,OK,,발생 2건 / 검거 2건 / 공표 검거율 100.0% / 전년 대비 +0.0%,132_TX_132_2009_H1003_20260915164522.csv,True
DATA-000050,2011,범위확인필요,가스·전기·증기공급사용방해,기타,,2.0,1.0,,2.0,,비교불가,MISSING_CLEARANCE_RATE,공표 검거율 없음,발생 2건 / 검거 1건,132_DT_13204_2011_N213_20260915163035.csv,True
